loss,reward
0.0,15.0
0.0,17.0
0.0,14.0
0.0,12.0
0.0,16.0
0.0,13.0
0.0,14.0
0.0,13.0
0.0,20.0
0.0,23.0
0.0,27.0
0.0,13.0
0.0,12.0
0.0,13.0
0.0,14.0
0.0,13.0
0.0,9.0
0.0,12.0
0.0,13.0
0.0,11.0
0.0,10.0
0.0,12.0
0.0,10.0
0.0,13.0
0.0,15.0
0.0,15.0
0.0,11.0
0.0,21.0
0.0,11.0
0.0,13.0
0.0,17.0
0.0,17.0
0.0,10.0
0.0,11.0
0.0,19.0
0.0,16.0
0.0,10.0
0.0,17.0
0.0,13.0
0.0,19.0
0.0,21.0
0.0,15.0
0.0,9.0
0.0,12.0
0.0,19.0
0.0,11.0
0.0,11.0
0.0,13.0
0.0,11.0
0.0,15.0
0.0,10.0
0.0,16.0
0.0,9.0
0.0,16.0
0.0,11.0
0.0,13.0
0.0,13.0
0.0,11.0
0.0,13.0
0.0,14.0
0.0,13.0
0.0,17.0
0.0,16.0
0.0,10.0
0.0,19.0
0.0,13.0
0.0,19.0
0.0,12.0
0.0,17.0
0.0,13.0
0.0,14.0
0.0,14.0
0.0,19.0
0.0,11.0
0.0,12.0
0.0,14.0
0.0,10.0
0.0,15.0
0.0,9.0
0.0,13.0
0.0,12.0
0.0,15.0
0.0,12.0
0.0,13.0
0.0,13.0
0.0,9.0
0.0,11.0
0.0,25.0
0.0,14.0
0.0,12.0
0.0,10.0
0.0,16.0
0.0,24.0
0.0,15.0
0.0,10.0
0.0,10.0
0.0,13.0
0.0,10.0
0.0,11.0
0.0,16.0
0.0,15.0
0.0,9.0
0.0,11.0
0.0,9.0
0.0,13.0
0.0,12.0
0.0,13.0
0.0,14.0
0.0,10.0
0.0,12.0
0.0,9.0
0.0,15.0
0.0,13.0
0.0,18.0
0.0,10.0
0.0,11.0
0.0,12.0
0.0,10.0
0.0,12.0
0.0,19.0
0.0,11.0
0.0,12.0
0.0,22.0
0.0,10.0
0.0,12.0
0.0,14.0
0.0,12.0
0.0,15.0
0.0,11.0
0.0,17.0
0.0,14.0
0.0,11.0
0.0,11.0
0.0,15.0
0.0,15.0
0.0,12.0
0.0,24.0
0.0,25.0
0.0,16.0
0.0,10.0
0.0,11.0
0.0,15.0
0.0,9.0
0.0,14.0
0.0,9.0
0.0,12.0
0.4667081832885742,21.0
0.39036381244659424,12.0
0.42034974694252014,15.0
0.6323180198669434,10.0
0.5127476453781128,13.0
0.4339234530925751,10.0
0.49478235840797424,15.0
0.40197235345840454,11.0
0.6030688881874084,14.0
0.49273961782455444,12.0
0.46025794744491577,15.0
0.6838783025741577,12.0
0.6363446712493896,11.0
0.5142701864242554,14.0
0.4499105215072632,13.0
0.814996600151062,16.0
0.6440461874008179,10.0
0.6185240149497986,10.0
0.43175679445266724,13.0
0.8694560527801514,11.0
0.7475802302360535,11.0
0.6914244294166565,12.0
0.6091468334197998,10.0
0.5430597066879272,13.0
0.830994725227356,10.0
0.7949638366699219,11.0
0.9168806076049805,9.0
0.6725505590438843,12.0
0.9029266238212585,23.0
1.086937665939331,12.0
0.9795589447021484,15.0
1.5897117853164673,13.0
1.1832661628723145,10.0
2.8399267196655273,14.0
0.8185917139053345,11.0
1.1036245822906494,11.0
1.7597620487213135,14.0
2.236032485961914,24.0
1.820702314376831,19.0
2.4468626976013184,20.0
1.3774232864379883,9.0
2.0614519119262695,13.0
2.3852508068084717,17.0
4.071235656738281,17.0
3.1499457359313965,23.0
3.336884021759033,17.0
3.743011951446533,10.0
2.1909124851226807,9.0
2.1181716918945312,23.0
1.3682819604873657,8.0
2.1194510459899902,13.0
2.0131778717041016,11.0
2.1290504932403564,12.0
1.5892117023468018,29.0
1.7756078243255615,14.0
1.9946088790893555,10.0
3.8002331256866455,13.0
1.6728183031082153,19.0
2.003645420074463,13.0
1.753758192062378,15.0
1.3767297267913818,12.0
1.1796373128890991,14.0
1.8083096742630005,17.0
1.1890920400619507,11.0
2.225273847579956,18.0
0.9615868926048279,9.0
1.5524177551269531,9.0
1.63870108127594,12.0
1.387322187423706,10.0
1.2675141096115112,9.0
1.5935163497924805,13.0
0.754746675491333,20.0
2.429971218109131,21.0
1.308319091796875,11.0
1.1940228939056396,32.0
1.8658883571624756,15.0
1.9811009168624878,12.0
1.402979850769043,11.0
2.190417766571045,19.0
1.9376742839813232,12.0
4.203439712524414,11.0
1.2403743267059326,12.0
2.9786033630371094,10.0
1.5543402433395386,11.0
1.8370463848114014,13.0
2.3792154788970947,9.0
3.6241769790649414,15.0
2.3165431022644043,10.0
2.424525022506714,10.0
3.4833245277404785,11.0
3.400421619415283,11.0
1.065618872642517,14.0
2.8463215827941895,23.0
4.775030136108398,11.0
4.053107261657715,18.0
1.6810758113861084,15.0
1.4135798215866089,14.0
3.3485212326049805,8.0
0.9383495450019836,8.0
2.3546061515808105,11.0
3.189939022064209,21.0
1.7018563747406006,11.0
2.082068920135498,9.0
2.773632526397705,11.0
1.9165436029434204,19.0
1.2248528003692627,11.0
1.9624212980270386,11.0
1.9337000846862793,17.0
1.4377198219299316,9.0
1.5929830074310303,15.0
1.7744455337524414,9.0
2.73319149017334,11.0
1.5290815830230713,9.0
1.5691077709197998,20.0
1.802410364151001,20.0
0.9603868126869202,12.0
0.9694661498069763,13.0
1.2778830528259277,10.0
1.9386779069900513,12.0
1.2509288787841797,17.0
1.0620934963226318,13.0
1.2840704917907715,13.0
1.6926692724227905,11.0
1.622783899307251,21.0
1.356430172920227,16.0
1.6070796251296997,15.0
1.9920263290405273,18.0
1.0742900371551514,21.0
1.0143755674362183,23.0
1.3417648077011108,29.0
1.1840674877166748,20.0
0.9030618667602539,24.0
0.9544474482536316,29.0
0.9815869331359863,37.0
1.3177176713943481,85.0
1.4486958980560303,67.0
1.3860715627670288,26.0
1.4535818099975586,33.0
1.9359079599380493,44.0
1.5329539775848389,30.0
2.112245559692383,28.0
1.938855767250061,32.0
0.5666358470916748,21.0
2.8547186851501465,62.0
3.3670852184295654,36.0
3.4082350730895996,32.0
1.6533203125,53.0
3.281015634536743,55.0
2.918606996536255,58.0
3.3322696685791016,47.0
2.7320871353149414,40.0
1.3836829662322998,143.0
3.8893797397613525,46.0
2.9217052459716797,75.0
2.41752028465271,100.0
1.7843365669250488,42.0
3.250261068344116,64.0
3.4665451049804688,96.0
1.2823342084884644,102.0
1.934598684310913,59.0
2.6284024715423584,67.0
1.9509096145629883,27.0
3.430861473083496,67.0
3.553654670715332,70.0
2.516988754272461,53.0
3.44545578956604,50.0
1.4858345985412598,74.0
1.8302336931228638,85.0
3.1313364505767822,96.0
1.7476696968078613,19.0
1.184155821800232,89.0
1.9134663343429565,28.0
1.7011570930480957,53.0
1.5703516006469727,233.0
1.6568567752838135,127.0
0.6791521310806274,96.0
0.5117427110671997,162.0
0.8718563318252563,29.0
0.8912120461463928,35.0
0.9335141777992249,209.0
0.7829897403717041,154.0
1.5968602895736694,156.0
1.4095118045806885,159.0
0.6595525741577148,59.0
1.2037999629974365,44.0
2.823707342147827,167.0
2.520641565322876,157.0
2.743856430053711,123.0
2.2902097702026367,231.0
1.1795716285705566,13.0
0.31306061148643494,109.0
0.687710165977478,159.0
0.7138513326644897,96.0
1.4721421003341675,158.0
2.6310672760009766,125.0
1.4651689529418945,117.0
0.770197331905365,202.0
1.369720220565796,399.0
0.5986509323120117,155.0
0.5993115901947021,188.0
1.6825908422470093,317.0
0.8021737933158875,208.0
1.459536075592041,83.0
1.4863957166671753,164.0
1.7772005796432495,336.0
2.811495780944824,20.0
1.5266505479812622,142.0
1.1218470335006714,217.0
1.702411413192749,200.0
2.6356544494628906,181.0
1.5663645267486572,224.0
2.0526437759399414,96.0
1.2400888204574585,175.0
0.447118878364563,231.0
2.073978900909424,170.0
0.4910617172718048,123.0
0.41132616996765137,172.0
0.3737110495567322,171.0
1.526210069656372,164.0
0.7365922927856445,165.0
0.6545045971870422,44.0
0.596975564956665,288.0
2.331822156906128,188.0
1.3343030214309692,19.0
1.3691604137420654,301.0
0.6074524521827698,265.0
0.4446452260017395,159.0
0.7068990468978882,107.0
0.5536179542541504,182.0
1.166671633720398,190.0
0.7921794652938843,199.0
0.2714642882347107,210.0
3.373385429382324,40.0
2.141392469406128,55.0
1.2186694145202637,45.0
0.9443233013153076,88.0
0.5062997341156006,50.0
0.8058706521987915,118.0
0.5001556873321533,33.0
1.387357473373413,176.0
2.0601017475128174,112.0
3.0973024368286133,12.0
2.380110502243042,307.0
3.016367197036743,238.0
0.5697753429412842,110.0
6.089285850524902,262.0
1.2535008192062378,154.0
0.9225428104400635,274.0
1.4738106727600098,214.0
0.902374267578125,247.0
3.262923240661621,33.0
2.1846771240234375,107.0
4.323272705078125,27.0
0.5574072599411011,66.0
0.6432818174362183,298.0
0.45692330598831177,228.0
0.7205201983451843,308.0
0.6432522535324097,55.0
4.169134140014648,213.0
1.6205248832702637,53.0
0.7166265249252319,207.0
0.7929813265800476,27.0
1.5475410223007202,201.0
1.544479489326477,163.0
0.3037179112434387,256.0
1.9616879224777222,271.0
2.193706512451172,313.0
1.0226643085479736,209.0
1.2508559226989746,58.0
0.8432314395904541,19.0
1.7895194292068481,139.0
2.4751057624816895,28.0
1.6187348365783691,97.0
0.9787384271621704,49.0
1.0660213232040405,13.0
0.7117934226989746,157.0
2.6002135276794434,54.0
0.5612586736679077,136.0
2.0900638103485107,161.0
2.2705774307250977,41.0
2.674168825149536,111.0
1.5614131689071655,62.0
1.0761897563934326,13.0
1.4614512920379639,144.0
2.1138882637023926,26.0
1.794034481048584,113.0
0.8554518222808838,102.0
0.48013192415237427,71.0
3.269955635070801,164.0
1.4359872341156006,228.0
0.36025694012641907,259.0
1.1543787717819214,29.0
1.9239696264266968,265.0
1.6438941955566406,70.0
0.8247570395469666,100.0
1.794987678527832,153.0
1.6811212301254272,49.0
0.38952744007110596,99.0
1.975298523902893,276.0
0.46860644221305847,145.0
1.0252712965011597,124.0
0.6677701473236084,178.0
0.4304165840148926,211.0
1.2037147283554077,156.0
0.2528872489929199,16.0
1.9682631492614746,19.0
0.6845663785934448,121.0
0.46782416105270386,123.0
1.2253975868225098,169.0
0.9559916257858276,16.0
0.3654431700706482,78.0
0.6372767686843872,41.0
0.37605589628219604,72.0
1.3536704778671265,183.0
1.1073248386383057,14.0
0.6792923212051392,16.0
2.6397879123687744,84.0
0.8419190645217896,134.0
0.4718221127986908,104.0
0.2036871314048767,108.0
0.4154655337333679,157.0
0.7350956201553345,143.0
1.8754156827926636,61.0
3.128535032272339,188.0
1.9625232219696045,180.0
0.5106732845306396,179.0
4.0173139572143555,140.0
1.4096366167068481,23.0
0.48363226652145386,209.0
1.0947333574295044,111.0
1.0901398658752441,54.0
0.9431354999542236,56.0
0.6214382648468018,28.0
0.5057008862495422,99.0
1.242307424545288,84.0
0.6307868957519531,180.0
0.8898423314094543,62.0
0.906530499458313,54.0
0.9655247330665588,97.0
0.44154322147369385,23.0
1.1508722305297852,128.0
0.7463463544845581,110.0
1.5966355800628662,48.0
0.35825395584106445,275.0
1.1732020378112793,330.0
1.2405295372009277,58.0
0.671619176864624,106.0
1.5379427671432495,52.0
1.2080566883087158,102.0
1.8047362565994263,151.0
1.6749249696731567,127.0
0.7529196739196777,211.0
1.4173171520233154,162.0
1.0775415897369385,248.0
0.4214181900024414,119.0
0.3639839291572571,165.0
1.402167558670044,125.0
1.0805652141571045,183.0
0.49016427993774414,195.0
1.1778978109359741,268.0
1.3422818183898926,22.0
2.527919292449951,10.0
0.23804044723510742,221.0
0.2925626039505005,186.0
0.2850252091884613,22.0
1.1961473226547241,152.0
0.8625708818435669,41.0
1.8021990060806274,14.0
1.5230278968811035,51.0
0.8787475228309631,203.0
0.23169630765914917,55.0
0.3749192953109741,9.0
